nc Variable	Variable	Units	Description

metavar1	Cruise		
metavar2	Station		
metavar3	Type		
longitude	Longitude	degrees_east	
latitude	Latitude	degrees_north	
metavar4	Bot. Depth	m	Bottom depth
metavar5	Operator's Cruise Name		
metavar6	Ship Name		
metavar7	Period		
metavar8	Chief Scientist		
metavar9	GEOTRACES Scientist		
metavar10	Cruise Aliases		
metavar11	Cruise Information Link		
metavar12	BODC Cruise Number		
date_time	Decimal Gregorian Days of the station	days since 2006-01-01 00:00:00 UTC	Relative Gregorian Days with decimal part
			
var1	CTDPRS_T_VALUE_SENSOR	dbar	Pressure from CTD sensor
var2	DEPTH	m	Depth below sea surface calculated from pressure
var3	Rosette Bottle Number		Bottle number on the rosette
var4	GEOTRACES Sample ID		GEOTRACES sample id
var5	Bottle Flag		Quality flag for the entire bottle
var6	Cast Identifier		Cast identifier as string
var7	Sampling Device		Sampling device descriptor
var8	BODC Bottle Number		Unique BODC bottle number
var9	BODC Event Number		Unique BODC event number
var10	Single-Cell ID		Single-cell identifier
var11	NCBI_Metagenome_BioSample_Accession		NCBI BioSample accession number for the metagenomic data associated with this bottle number. See: https://www.ncbi.nlm.nih.gov/biosample/
var12	NCBI_Single-Cell-Genome_BioProject_Accession		NCBI BioProject accession number for single cell genomics data of Bacteria and Archaea. These BioProjet accession numbers encompass single cell genomes from multiple bottles. See the associated Digital Object Identifiers (DOI) for primary references. See https://www.ncbi.nlm.nih.gov/bioproject/
var13	NCBI_16S-18S-rRNA-gene_BioSample_Accession		NCBI BioSample accession numbers for 16S/18S rRNA gene amplicon sequences (i.e., universal SSU rRNA amplicon V4-V5 DNA for high resolution taxonomy) associated with this bottle number. See: https://www.ncbi.nlm.nih.gov/biosample/
var14	EMBL_EBI_Metagenome_MGNIFY_Analysis_Accession		Derived functional and taxonomic analysis of the metagenomic data provided by the
var15	CTDTMP_T_VALUE_SENSOR	deg C	Temperature from CTD sensor in the ITS-90 convention. Metadata must include make and model numbers and recent calibration information.
var16	CTDSAL_D_CONC_SENSOR	pss-78	Practical salinity from CTD sensor on the PSS-1978 scale. Metadata must include make and model numbers and recent calibration information.
var17	SALINITY_D_CONC_BOTTLE		Practical salinity from bottle sample on the PSS-1978 scale
var18	CFC-11_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved CFC-11
var19	CFC-12_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved CFC-12
var20	CFC113_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved CFC113
var21	SF6_D_CONC_BOTTLE	fmol/kg	Concentration of dissolved SF6
var22	He_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Helium
var23	Ne_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Neon
var24	Ar_D_CONC_BOTTLE	umol/kg	Concentration of Argon
var25	Kr_D_CONC_BOTTLE	nmol/kg	Concentration of Krypton
var26	Xe_D_CONC_BOTTLE	nmol/kg	Concentration of Xenon
var27	SALINITY_D_CONC_PUMP		Practical salinity on the PSS-1978 scale
var28	SALINITY_D_CONC_FISH		Practical salinity from a towed fish sample on the PSS-1978 scale
var29	SALINITY_D_CONC_UWAY		Practical salinity from a seawater sample collected using the ship's underway sampling system on the PSS-1978 scale
var30	CFC-11_D_CONC_UWAY	pmol/kg	Concentration of dissolved CFC-11
var31	CFC-12_D_CONC_UWAY	pmol/kg	Concentration of dissolved CFC-12
var32	CFC113_D_CONC_UWAY	pmol/kg	Concentration of dissolved CFC113
var33	SF6_D_CONC_UWAY	fmol/kg	Concentration of dissolved SF6
var34	SALINITY_D_CONC_BOAT_PUMP		Practical salinity on the PSS-1978 scale
var35	OXYGEN_D_CONC_BOTTLE	umol/kg	Concentration of dissolved oxygen from a bottle sample
var36	CTDOXY_D_CONC_SENSOR	umol/kg	Concentration of dissolved oxygen from sensor on CTD. Metadata must include make and model numbers and recent calibration information.
var37	PHOSPHATE_D_CONC_BOTTLE	umol/kg	Concentration of dissolved phosphate, samples may or may not have been filtered
var38	PHOSPHATE_LL_D_CONC_BOTTLE	umol/kg	Concentration of low-level dissolved phosphate determined using filtered seawater
var39	SILICATE_D_CONC_BOTTLE	umol/kg	Concentration of dissolved silicate (silicic acid), samples may or may not have been filtered
var40	NITRATE_D_CONC_BOTTLE	umol/kg	Concentration of dissolved nitrate, samples may or may not have been filtered
var41	NITRATE_LL_D_CONC_BOTTLE	umol/kg	Concentration of low-level dissolved nitrate  determined by long path length spectrophotometry using filtered seawater
var42	NITRITE_D_CONC_BOTTLE	umol/kg	Concentration of dissolved nitrite, samples may or may not have been filtered
var43	NITRITE_LL_D_CONC_BOTTLE	umol/kg	Concentration of low-level dissolved nitrite determined by long path length spectrophotometry using filtered seawater
