j_0,r_0,n_0,m_0,a_0
9.894201612131445e-14,-40.0,8.063774313887127e-11,9.894201612131445e-14,1.620942164179103e7
6.419611219181991e-13,-35.0,2.336738483782245e-10,1.1867509524810376e-13,3.443224666142969e6
3.45380867080113e-13,-30.0,1.6785510140093492e-10,1.1782620200364525e-13,6.709048507462684e6
1.8696730915133145e-13,-25.0,3.744955202301169e-10,1.0785672217617324e-13,6.2355204241948165e7
2.0560776044965687e-13,-20.0,8.863750552984707e-10,1.0360271303009212e-13,1.4338785840534163e8
1.0941642393946783e-13,-15.0,4.96115949426335e-9,1.0294515477231059e-13,9.028355950510608e8
1.0584678149649697e-13,-10.0,3.5459730269141448e-9,1.0352421604251623e-13,8.035798900235667e8
1.0078895598525658e-13,-5.0,3.0596503368444343e-9,1.0078895598525658e-13,5.695027199528675e8
1.0773402846226404e-13,0.0,4.872810107348203e-10,1.0267012887006628e-13,9.093728888452491e7
1.0542897447804277e-13,5.0,2.842365151928033e-10,1.0542897447804277e-13,4.1781451296150856e7
1.1216602009088661e-13,10.0,2.478869044008594e-11,1.1216602009088661e-13,2.451880400628437e6
